109,13,1169,RefurbishedProV1392,240.3213,9.323334,250.4546,12.16667,7.5
110,13,1236,RefurbishedProV1392,234.0313,31.28667,244.0579,33.26333,8.5
111,13,978,WashedProV1392,245.3646,-2.26,254.0413,-2.34,5
112,13,436,NewProV1392,244.9646,2.84,252.3979,2.643333,4.5
113,13,970,WashedProV1392,242.0879,4.02,249.6813,5.043334,6.2
114,13,406,NewProV1392,245.4246,13.26667,254.5479,14.70333,5.8
115,14,1227,RefurbishedProV1392,233.0979,15.53333,239.6279,17.36,9.2
116,14,950,WashedProV1392,250.3413,5.436666,255.4146,4.683333,5.7
117,14,968,WashedProV1392,245.9846,2.543333,255.1779,2.003333,4.8
118,14,1222,RefurbishedProV1392,248.0313,-2.083333,258.6279,-3.08,4.2
119,14,428,NewProV1392,250.8213,-7.523334,262.6579,-8.276667,5
120,14,453,NewProV1392,248.3846,7.113333,254.7113,7.82,5.4
121,15,388,NewProV1392,248.0479,-5.793334,257.3413,-5.356667,4.1
122,15,386,NewProV1392,249.8846,-0.7466667,258.3979,-0.4333333,4.9
123,15,974,WashedProV1392,250.1013,-4.24,256.9246,-6.643333,4.9
124,15,1179,RefurbishedProV1392,233.6813,-1.156667,241.6513,-0.83,9
125,15,1205,RefurbishedProV1392,236.4746,-0.7733333,239.5446,-0.09,9.3
126,15,997,WashedProV1392,236.1446,-8.696667,244.7013,-10.05333,8.2
127,16,1243,RefurbishedProV1392,244.2013,17.91667,246.5613,19.45,6
128,16,466,NewProV1392,250.2446,11.29667,262.2313,11.75333,4.1
129,16,1006,WashedProV1392,242.0313,16.01,252.2946,18.49,4.2
130,16,1013,WashedProV1392,245.6813,11.04,255.0379,11.18,4.2
131,16,1240,RefurbishedProV1392,245.7946,11.95667,255.3646,12.42333,5.2
132,16,375,NewProV1392,262.0546,-2.086667,272.9746,-4.3,4.5
133,17,1023,WashedProV1392,244.3313,-11.34667,253.1379,-12.36,5.3
134,17,362,NewProV1392,251.3579,10.63667,268.7013,13.25667,2.4
135,17,1202,RefurbishedProV1392,238.9513,15.11333,247.7613,18.41667,5.8
136,17,367,NewProV1392,250.5846,9.3,259.0146,9.1,4.5
137,17,1016,WashedProV1392,248.5579,5.796667,259.1979,5.936666,4.3
138,17,1210,RefurbishedProV1392,242.7946,-7.52,254.8113,-10.13,8
139,18,1223,RefurbishedProV1392,239.7246,13.31333,250.2946,12.42333,7.4
140,18,1196,RefurbishedProV1392,249.5213,2.163333,260.0913,1.593333,6.8
141,18,1004,WashedProV1392,253.3013,13.17,261.2813,13.82333,2.1
142,18,378,NewProV1392,248.3513,3.736667,261.5613,1.863333,2.5
143,18,467,NewProV1392,248.8379,-5.84,259.5279,-7.973333,5
144,18,964,WashedProV1392,246.1346,0.02,256.7979,0.7966667,5.2
145,19,381,NewProV1392,252.2946,-0.15,261.3979,0.4166667,2.9
146,19,404,NewProV1392,254.1846,8.283334,277.5379,10.16333,3
147,19,1228,RefurbishedProV1392,240.5613,33.23,247.9113,40.54667,4.2
148,19,1010,WashedProV1392,249.6246,0.7566667,259.8346,-0.04,4
149,19,971,WashedProV1392,247.5579,8.206667,258.4579,8.273334,5.4
150,19,1168,RefurbishedProV1392,249.4313,-0.1466667,259.1813,0.4466667,4.3
151,20,368,NewProV1392,255.3079,19.65667,270.9213,22.44,1.5
152,20,1184,RefurbishedProV1392,250.1979,12.74667,256.3846,14.73333,4.2
153,20,1206,RefurbishedProV1392,241.2879,9.09,250.2346,10.37,5
154,20,993,WashedProV1392,253.2013,-0.35,263.0313,0.8266667,5.1
155,20,411,NewProV1392,256.8046,-6.45,267.5513,-7.15,3.9
156,20,990,WashedProV1392,252.7179,-5.663333,266.1179,-9.043333,2.9
157,21,979,WashedProV1392,250.8113,5.143333,258.2579,5.326667,4.7
158,21,382,NewProV1392,253.5713,14.39,269.1879,16.07,3
159,21,1192,RefurbishedProV1392,244.7646,7.33E-02,254.3246,1.61,6.6
160,21,435,NewProV1392,254.7513,5.416667,273.7446,4.346667,4
161,21,1001,WashedProV1392,247.3979,6.26,262.3213,9.303333,4.3
162,21,1204,RefurbishedProV1392,255.8579,5.766667,266.4279,6.04,3.9
163,22,1188,RefurbishedProV1392,244.8946,9.75,249.8046,12.00667,7.4
164,22,1249,RefurbishedProV1392,244.1946,28.88667,251.1879,33.57,3.4
165,22,980,WashedProV1392,250.5746,-0.8866667,257.5346,-3.02,5
166,22,399,NewProV1392,257.1379,-14.05667,269.2279,-16.11,2.4
167,22,944,WashedProV1392,251.9579,-7.536667,264.9679,-11.1,3.5
168,22,426,NewProV1392,252.5213,-5.733333,264.3213,-4.86,5
169,23,958,WashedProV1392,253.0813,-0.4633333,263.6813,-1.006667,3.9
170,23,1005,WashedProV1392,254.7646,4.466667,267.2046,6.45,2.4
171,23,1235,RefurbishedProV1392,253.2946,-2.076667,262.2713,0.1266667,4
172,23,439,NewProV1392,254.2813,0.8733333,260.5713,-0.2166667,4.4
173,23,1218,RefurbishedProV1392,254.5846,0.5466667,261.9379,-0.7266667,4.1
174,23,457,NewProV1392,256.1979,-2.443333,273.4779,-2.993333,2.3
175,24,1015,WashedProV1392,252.9813,-5.03,267.0779,-3.773333,2.5
176,24,1233,RefurbishedProV1392,248.3613,-4.796667,255.4246,-5.296667,3.4
177,24,431,NewProV1392,254.0279,1.683333,265.7479,1.026667,4.8
178,24,449,NewProV1392,260.2013,2.756667,270.9779,3.596667,4.2
179,24,967,WashedProV1392,254.2679,-1.716667,263.0813,-1.06,4.3
180,24,1213,RefurbishedProV1392,245.1913,-4.193333,253.4013,-5.826667,5.8
181,25,440,NewProV1392,252.7379,-0.4366667,264.7413,1.513333,4.1
182,25,1182,RefurbishedProV1392,243.8613,8.776667,255.5179,8.396667,6.2
